rank,profile_id,rating,name,highest_rating,streak,lowest_streak,highest_streak,games,wins,losses,drops,last_match,last_match_time
1,251265,2324,[aM] MbL40C,2372.0,3,-9.0,17.0,1519,1054,465,80,1594679211,1594679211
2,208393,2316,Nicov,2316.0,13,-4.0,19.0,601,449,152,6,1594642838,1594642838
3,197388,2308,Secret TaToH,2343.0,1,-5.0,21.0,416,298,118,3,1594491890,1594491890
4,199325,2303,[aM] Hera,2373.0,-2,-6.0,21.0,1399,945,454,10,1594675885,1594675885
5,196240,2298,TheViper,2341.0,2,-5.0,22.0,470,328,142,1,1594417850,1594417850
6,196310,2288,F1Re,2315.0,3,-5.0,19.0,755,577,178,5,1594531629,1594531629
7,2644601,2267,m.,2273.0,7,-4.0,37.0,180,141,39,2,1594682667,1594682667
8,198035,2258,_DauT_,2330.0,-6,-6.0,30.0,789,497,292,10,1594669688,1594669688
9,215442,2255,斗鱼TV肥龙最帅最牛B,2271.0,1,-6.0,18.0,715,503,212,7,1594404798,1594404798
10,572017,2250,TheMax,2291.0,1,-4.0,20.0,202,155,47,0,1594571215,1594571215
11,347269,2248,ACCM,2261.0,2,-5.0,25.0,1021,644,377,26,1594694099,1594694099
12,271202,2234,SalzZ_Vinchester,2310.0,-3,-4.0,18.0,490,337,153,3,1594667921,1594667921
13,534438,2232,Tim_,2248.0,-1,-6.0,12.0,464,312,152,11,1594660517,1594660517
14,506898,2222,Liereyy,2281.0,-1,-5.0,12.0,299,201,98,5,1594562993,1594562993
15,208611,2221,Villese,2245.0,4,-5.0,11.0,672,416,256,2,1594456552,1594456552
16,199170,2214,dogao,2252.0,3,-4.0,32.0,472,361,111,14,1594454990,1594454990
17,1486575,2208,d.,2283.0,-1,-6.0,20.0,408,288,120,3,1594510463,1594510463
18,1432837,2204,割吊专家5cm先生,2217.0,4,-5.0,17.0,219,167,52,1,1594470414,1594470414
19,232410,2177,LaaaaaN,2193.0,2,-3.0,10.0,398,280,118,4,1594588573,1594588573
20,409748,2177,Capoch,2177.0,6,-6.0,9.0,575,338,237,3,1594528821,1594528821
21,197964,2171,Mr_Yo,2224.0,-1,-6.0,11.0,566,361,205,8,1594670186,1594670186
22,2428811,2170,Vodka_L_2,2170.0,5,-4.0,10.0,188,125,63,5,1594688213,1594688213
23,2850727,2165,Teclis,2168.0,1,-3.0,31.0,103,81,22,0,1594587048,1594587048
24,312938,2164,BacT,2229.0,-1,-8.0,14.0,997,622,375,8,1594619547,1594619547
25,459658,2159,HOANG,2159.0,11,-9.0,12.0,2435,1398,1037,36,1594633420,1594633420
26,2090225,2140,Heresy | miguel,2232.0,1,-7.0,22.0,314,198,116,2,1594689824,1594689824
27,666976,2136,_Barles_,2175.0,6,-7.0,11.0,437,284,153,4,1594144908,1594144908
28,2667231,2135,Nagash,2177.0,2,-7.0,28.0,192,127,65,1,1594694884,1594694884
29,576919,2129,Babaorum,2160.0,-2,-8.0,15.0,624,366,258,0,1594657521,1594657521
30,1390516,2128,twitch.tv/tr_rex_,2128.0,3,-8.0,9.0,894,500,394,7,1594665566,1594665566
31,1550682,2124,낙타왕김카멜,2124.0,13,-4.0,19.0,155,113,42,0,1593964787,1593964787
32,673196,2123,RiuT,2169.0,-2,-5.0,15.0,238,141,97,0,1594694099,1594694099
33,256338,2121,Running,2153.0,2,-8.0,10.0,1378,764,614,12,1594688876,1594688876
34,508080,2120,AngelinaJolie,2120.0,6,-7.0,11.0,783,458,325,5,1594667870,1594667870
35,1451847,2117,Kellar_AoC,2140.0,-1,-2.0,1.0,12,5,7,0,1594247598,1594247598
36,1369485,2116,斗鱼TV_Tim,2116.0,4,-2.0,27.0,90,78,12,0,1594290066,1594290066
37,2135484,2115,AssassinOstrich,2115.0,3,-7.0,15.0,368,216,152,9,1594619547,1594619547
38,212721,2113,Sitaux,2113.0,4,-5.0,8.0,176,122,54,2,1594656029,1594656029
39,2401889,2113,Cata,2113.0,4,-3.0,23.0,90,71,19,1,1593799356,1593799356
40,986504,2112,twitch.tv/st4rk_,2197.0,3,-5.0,12.0,296,203,93,8,1594495832,1594495832
41,1221228,2111,HULK,2135.0,-2,-5.0,19.0,233,148,85,5,1594389591,1594389591
42,716717,2108,_Ares_StrayDog,2116.0,1,-9.0,12.0,568,336,232,21,1594560016,1594560016
43,458029,2108,Darknoob,2117.0,4,-7.0,11.0,1242,682,560,13,1594678881,1594678881
44,738249,2107,Mr Greed,2107.0,2,-6.0,13.0,1072,600,472,8,1594089188,1594089188
45,2886954,2104,RoadTo2k,2135.0,-2,-2.0,20.0,45,39,6,1,1594556404,1594556404
46,199419,2088,gkt_cloud,2094.0,1,-7.0,9.0,483,290,193,3,1594132728,1594132728
47,217905,2086,chart,2104.0,-1,-6.0,11.0,229,157,72,5,1594547603,1594547603
48,254415,2083,Modri,2113.0,7,-4.0,12.0,323,216,107,8,1593002223,1593002223
49,2097181,2082,CELTS,2153.0,-3,-7.0,31.0,1348,757,591,14,1594694903,1594694903
50,872428,2080,best herb tw,2110.0,5,-5.0,8.0,494,296,198,3,1593000922,1593000922
51,614315,2079,slam,2244.0,-3,-7.0,14.0,876,552,324,6,1594545205,1594545205
52,265517,2078,PGP | Daniel,2123.0,3,-5.0,9.0,433,247,186,3,1594673275,1594673275
53,1224481,2078,K4SVA,2203.0,-1,-9.0,13.0,1340,748,592,7,1594666644,1594666644
54,2431776,2065,Mis_Huevos,2065.0,7,-4.0,8.0,120,71,49,3,1594351570,1594351570
55,1252385,2058,Instincts,2058.0,5,-7.0,10.0,160,94,66,4,1594016011,1594016011
56,357795,2051,DracKeN,2230.0,7,-13.0,11.0,1894,1081,813,39,1594648127,1594648127
57,1898283,2044,E.,2056.0,2,-6.0,16.0,378,218,160,1,1593505720,1593505720
58,419803,2041,saymyname,2079.0,-1,-6.0,16.0,525,360,165,20,1593939870,1593939870
59,2873733,2040,7DeSuadero,2040.0,-1,-1.0,-1.0,10,5,5,1,1593713511,1593713511
60,227857,2040,jibatong,2133.0,1,-6.0,15.0,552,342,210,14,1594223622,1594223622
61,728551,2038,【ゴゴゴ】,2124.0,-1,-6.0,12.0,364,238,126,6,1594541447,1594541447
62,210388,2038,Rise,2038.0,6,-7.0,9.0,941,504,437,12,1594653414,1594653414
63,628503,2034,valass,2034.0,6,-7.0,16.0,123,82,41,0,1594418180,1594418180
64,223206,2031,への字クラブ | NOC,2031.0,4,-5.0,13.0,209,136,73,2,1594547603,1594547603
65,1755520,2031,sddfge,2031.0,9,-4.0,32.0,76,65,11,0,1594548978,1594548978
66,1428813,2027,GavoWinsKotd3,2027.0,3,-7.0,7.0,286,166,120,3,1594629638,1594629638
67,1262725,2025,Noisick,2147.0,2,-8.0,10.0,529,298,231,4,1594679332,1594679332
68,560474,2024,Sunzets,2027.0,1,-3.0,11.0,107,74,33,2,1594489951,1594489951
